subject_id	object_id
SCDO:0000099	HP:0006689
SCDO:0000308	HP:0000953
SCDO:0008538	HP:0001935
SCDO:0001012	NCIT:C80411
SCDO:1000294	HP:0000478
SCDO:0001030	HP:0001250
SCDO:0000907	CMO:0000921
SCDO:0001202	OBI:0001098
SCDO:0000534	NCIT:C95504
SCDO:0001370	IDOMAL:50000026
SCDO:0004899	HP:0002086
SCDO:1000567	NCIT:C168823
SCDO:0000870	NCIT:C103526
SCDO:1000648	HP:0012101
SCDO:0000721	CMO:0000291
SCDO:0002784	NCIT:C96239
SCDO:0001109	VO:0000675
SCDO:0006934	NCIT:C41129
SCDO:1000622	UO:0000095
SCDO:0004249	OBI:0000626
SCDO:0001488	HP:0001394
SCDO:0000013	NCIT:C98805
SCDO:1000646	NCIT:C67015
SCDO:0000159	HP:0030049
SCDO:0000914	HP:0001271
SCDO:1000195	OBI:0002146
SCDO:0001058	NCIT:C98835
SCDO:1000434	HP:0031368
SCDO:0002912	CHEBI:6909
SCDO:1000273	HP:0002715
SCDO:0000723	CMO:0000038
SCDO:1000284	MP:0002118
SCDO:0007716	NCIT:C63547
SCDO:1000263	HP:0000078
SCDO:0005287	HP:0001744
SCDO:0005490	HP:0011950
SCDO:0001341	NCIT:C17357
SCDO:0001078	NCIT:C75583
SCDO:1000715	UO:0000280
SCDO:1000412	DUO:0000028
SCDO:0000154	HP:0002653
SCDO:1000415	DUO:0000024
SCDO:0000040	NCIT:C81229
SCDO:0000784	HP:0003198
SCDO:1000440	HP:0001874
SCDO:1000388	NCIT:C78638
SCDO:0000847	CHEBI:7852
SCDO:0000209	HP:0001342
SCDO:0001324	HP:0001371
SCDO:0000434	HP:0000805
SCDO:0001367	HP:0000005
SCDO:0300001	NCIT:C39796
SCDO:0000831	HP:0012203
SCDO:0006222	NCIT:C124059
SCDO:1000391	NCIT:C116081
SCDO:0002870	DOID:0060181
SCDO:0000770	HP:0012282
SCDO:1000287	HP:0001977
SCDO:1000626	HP:0005518
SCDO:0000543	CMO:0000508
SCDO:0000612	OBI:0000185
SCDO:0000428	HP:0003457
SCDO:1000185	OGMS:0000028
SCDO:0000027	NCIT:C154481
SCDO:0000503	CMO:0000037
SCDO:0000758	NCIT:C124475
SCDO:1000544	NCIT:C68615
SCDO:1000405	OBI:0002556
SCDO:1000761	MP:0005533
SCDO:1000563	OPMI:0000023
SCDO:0007493	CHEBI:42797
SCDO:0000105	HP:0000708
SCDO:0000555	NCIT:C124065
SCDO:0000695	NCIT:C74954
SCDO:0001028	HP:0008245
SCDO:0000820	HP:0002870
SCDO:0006481	HP:0012574
SCDO:0000270	CMO:0000364
SCDO:1000096	NCIT:C70817
SCDO:0000212	HP:0012229
SCDO:0009453	NCIT:C16676
SCDO:0001057	NCIT:C95539
SCDO:0000367	HP:0000819
SCDO:1000852	NCIT:C103165
SCDO:0008766	NCIT:C35372
SCDO:0000779	SYMP:0019161
SCDO:1000765	HP:0012638
SCDO:1000384	NCIT:C2959
SCDO:0001101	IDOMAL:0000592
SCDO:1000359	NCIT:C16612
SCDO:0005439	NCIT:C20629
SCDO:0008454	NCIT:C64625
SCDO:0004832	NCIT:C118385
SCDO:0000597	HP:0011886
SCDO:0001137	HP:0002725
SCDO:1000381	NCIT:C152089
SCDO:1000293	NCIT:C50474
SCDO:0005660	HP:0001903
SCDO:0000629	HP:0011001
SCDO:1000629	UO:0000025
SCDO:0001039	HP:0100806
SCDO:0000075	HP:0001369
SCDO:1000468	NCIT:C16495
SCDO:0000647	NCIT:C120256
SCDO:0000092	HP:0000027
SCDO:0000865	HP:0003470
SCDO:0000842	NCIT:C35447
SCDO:0000648	NCIT:C120255
SCDO:1000249	CMO:0000507
SCDO:0001308	HP:0009045
SCDO:0004190	NCIT:C62005
SCDO:0001221	VO:0000001
SCDO:0000204	NCIT:C154865
SCDO:1000262	HP:0001197
SCDO:0000059	NCIT:C258
SCDO:0000918	HP:0100602
SCDO:0000591	HP:0100774
SCDO:0000118	HP:0004586
SCDO:1000674	NCIT:C51773
SCDO:0000844	HP:0000939
SCDO:0008272	HP:0001269
SCDO:1000264	HP:0001871
SCDO:1000762	MP:0005534
SCDO:1000511	NCIT:C67244
SCDO:1000414	DUO:0000027
SCDO:0000180	OBI:1110053
SCDO:1000651	HP:0003110
SCDO:1000272	HP:0001392
SCDO:1000503	UO:0000200
SCDO:1000373	HP:0002597
SCDO:1000335	NCIT:C123667
SCDO:1000267	HP:0003116
SCDO:0009619	HP:0011675
SCDO:1000456	ICO:0000278
SCDO:0000769	DOID:1188
SCDO:1000441	CMO:0000111
SCDO:0000142	CMO:0000195
SCDO:0000158	HP:0002067
SCDO:1000893	NCIT:C25299
SCDO:1000647	HP:0004364
SCDO:1000811	MP:0005376
SCDO:0000793	HP:0000123
SCDO:0002771	NCIT:C38698
SCDO:1000271	HP:0001507
SCDO:0001238	HP:0007902
SCDO:0007856	NCIT:C34465
SCDO:0000103	NCIT:C40438
SCDO:1000265	HP:0004312
SCDO:0006404	HP:0011907
SCDO:1000417	DUO:0000029
SCDO:1000661	HP:0031956
SCDO:1000277	MP:0009568
SCDO:0000655	HP:0002516
SCDO:0000752	CHEBI:6807
SCDO:1000380	NCIT:C133543
SCDO:1000617	HP:0011873
SCDO:0000168	HP:0011410
SCDO:1000560	NCIT:C16576
SCDO:1000652	HP:0025435
SCDO:0000560	NCIT:C129072
SCDO:0005115	NCIT:C95437
SCDO:0008273	HP:0001640
SCDO:0000788	HP:0008404
SCDO:1000505	NCIT:C64572
SCDO:0004740	NCIT:C49131
SCDO:0008046	HP:0003158
SCDO:0000144	CMO:0000003
SCDO:0001251	OBI:0001138
SCDO:0000614	NCIT:C17230
SCDO:1000499	VT:0000202
SCDO:0000890	NCIT:C19332
SCDO:1000865	UO:0000015
SCDO:1000378	HP:0020063
SCDO:1000625	HP:0025066
SCDO:0007991	HP:0001658
SCDO:0002381	ARO:0000064
SCDO:1000418	DUO:0000025
SCDO:0000792	NCIT:C28407
SCDO:0002903	HP:0000044
SCDO:0000802	MP:0003224
SCDO:0002803	HP:0001712
SCDO:0003263	HP:0002019
SCDO:0000036	HP:0001022
SCDO:1000559	NCIT:C20197
SCDO:1000411	DUO:0000022
SCDO:0000755	IDO:0000515
SCDO:0000202	NCIT:C27222
SCDO:1000347	NCIT:C50767
SCDO:0008079	NCIT:C128326
SCDO:0003913	HP:0011007
SCDO:1000186	HP:0020061
SCDO:0006467	NCIT:65495
SCDO:0000915	NCIT:C1643
SCDO:1000450	NCIT:C61797
SCDO:0000429	HP:0001298
SCDO:1000375	HP:0011122
SCDO:0008895	HP:0002060
SCDO:0000335	HP:0025031
SCDO:0000266	NCIT:C16453
SCDO:1000603	EUPATH:0021227
SCDO:0000592	HP:0000843
SCDO:1000365	NCIT:C75434
SCDO:0006120	NCIT:C96391
SCDO:1000454	ICO:0000305
SCDO:0001298	NCIT:C16564
SCDO:1000809	MP:0009642
SCDO:0003158	HP:0000876
SCDO:0001365	DOID:4
SCDO:0000205	NCIT:C173396
SCDO:1000002	NCIT:C70731
SCDO:1000624	HP:0025065
SCDO:0004140	NCIT:C25464
SCDO:0000679	HP:0002808
SCDO:1000608	HP:0020058
SCDO:0000708	NCIT:C16809
SCDO:1000623	UO:0000104
SCDO:0000785	HP:0100614
SCDO:0007242	NCIT:C71754
SCDO:0000843	HP:0000938
SCDO:0000891	NCIT:C18772
SCDO:1000504	NCIT:C67251
SCDO:0009968	HP:0000097
SCDO:0000432	HP:0030127
SCDO:0001493	HP:0001395
SCDO:1000613	HP:0011893
SCDO:1000659	HP:0031964
SCDO:0000745	HP:0000132
SCDO:1000428	ICO:0000255
SCDO:1000312	CMO:0001321
SCDO:1000500	CMO:0000376
SCDO:0000446	NCIT:C92803
SCDO:0000652	HP:0001970
SCDO:0001074	HP:0200042
SCDO:0002133	HP:0000077
SCDO:1000140	HP:0000006
SCDO:0000673	HP:0001343
SCDO:1000377	HP:0020062
SCDO:0001231	HP:0001714
SCDO:0000671	HP:0000952
SCDO:0005566	HP:0002240
SCDO:0000827	HP:0000798
SCDO:0001383	HP:0005560
SCDO:0000642	VO:0000642
SCDO:1000675	NCIT:C51775
SCDO:1000632	MP:0001589
SCDO:0000087	NCIT:C26702
SCDO:1000167	NCIT:C86008
SCDO:0000904	HP:0011856
SCDO:0000074	HP:0002829
SCDO:0000645	NCIT:C122920
SCDO:0005809	CHEBI:35475
SCDO:0001423	HP:0001896
SCDO:0001874	NCIT:C74096
SCDO:0000136	CMO:0000023
SCDO:0001415	HP:0012532
SCDO:0000604	HP:0012418
SCDO:1000614	HP:0001882
SCDO:0000599	HP:0001943
SCDO:0000687	HP:0001909
SCDO:0001988	HP:0100749
SCDO:1000156	NCIT:C39547
SCDO:0000893	OGMS:0000023
SCDO:0006670	NCIT:C25474
SCDO:0007836	NCIT:C78598
SCDO:1000633	MP:0005562
SCDO:1000476	NCIT:C91105
SCDO:0001045	HP:0011413
SCDO:0001371	NCIT:C19296
SCDO:0001214	CMO:0000256
SCDO:1000720	UO:0000109
SCDO:0003844	HP:0001878
SCDO:0000275	NCIT:C97123
SCDO:0000005	NCIT:C71375
SCDO:1000386	NCIT:C114717
SCDO:0005226	NCIT:C99063
SCDO:0000413	HP:0031456
SCDO:1000443	PR:000001318
SCDO:0000093	HP:0002157
SCDO:1000216	EUPATH:0000034
SCDO:0009656	HP:0002098
SCDO:0001305	NCIT:C16567
